,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,5.205,5.43,5.205,5.2925,5.2925,366800
1,2002-01-30,5.25,5.4025,5.1,5.375,5.375,940400
2,2002-01-31,5.4625,5.575,5.4,5.575,5.575,368800
3,2002-02-01,5.44,5.6,5.44,5.5875,5.5875,228000
4,2002-02-04,5.575,5.575,5.3525,5.3525,5.3525,327200
5,2002-02-05,5.35,5.5125,5.105,5.2875,5.2875,320000
6,2002-02-06,5.275,5.355,5.1375,5.3275,5.3275,460000
7,2002-02-07,5.3325,5.48,5.2275,5.4775,5.4775,597200
8,2002-02-08,5.4025,5.525,5.24,5.4975,5.4975,402000
9,2002-02-11,5.5475,5.6125,5.4625,5.53,5.53,122800
10,2002-02-12,5.4875,5.8125,5.3725,5.8,5.8,1144000
11,2002-02-13,5.825,6.095,5.825,6.0725,6.0725,735600
12,2002-02-14,6.0825,6.0875,5.61,5.6175,5.6175,534000
13,2002-02-15,5.615,5.6875,5.4625,5.5925,5.5925,693200
14,2002-02-19,5.6225,5.6225,5.4075,5.41,5.41,181200
15,2002-02-20,5.4125,5.5475,5.1875,5.355,5.355,816000
16,2002-02-21,5.485,5.545,5.1975,5.28,5.28,461600
17,2002-02-22,5.32,5.3625,5.2,5.3,5.3,630800
18,2002-02-25,5.4725,5.5275,5.225,5.31,5.31,681200
19,2002-02-26,5.4125,5.46,5.3,5.37,5.37,470000
20,2002-02-27,5.4375,5.4375,5.2725,5.3825,5.3825,256400
21,2002-02-28,5.3525,5.445,5.2875,5.3525,5.3525,490800
22,2002-03-01,5.3625,5.52,5.125,5.5,5.5,600000
23,2002-03-04,5.5375,5.575,5.35,5.4825,5.4825,240400
24,2002-03-05,5.4475,5.5725,5.3775,5.4375,5.4375,771200
25,2002-03-06,5.4625,5.75,5.425,5.7125,5.7125,1330400
26,2002-03-07,5.7425,5.855,5.45,5.5,5.5,388400
27,2002-03-08,5.4375,5.8275,5.4375,5.7725,5.7725,552400
28,2002-03-11,5.8125,5.995,5.775,5.94,5.94,700800
29,2002-03-12,5.925,5.925,5.655,5.7675,5.7675,666400
30,2002-03-13,5.6725,6.0375,5.6725,6.015,6.015,378800
31,2002-03-14,5.965,6.12,5.9625,6.0175,6.0175,233200
32,2002-03-15,5.8625,6.1025,5.8625,6.035,6.035,334400
33,2002-03-18,6.1,6.5,5.99,6.37,6.37,1624400
34,2002-03-19,6.4975,6.55,6.395,6.5075,6.5075,1019200
35,2002-03-20,6.45,6.4675,6.19,6.225,6.225,236000
36,2002-03-21,6.215,6.565,6.1875,6.565,6.565,517600
37,2002-03-22,6.565,6.6725,6.45,6.45,6.45,516400
38,2002-03-25,6.5375,6.5675,6.1525,6.1525,6.1525,330800
39,2002-03-26,6.1975,6.215,5.9,6.02,6.02,585600
40,2002-03-27,5.9025,6.0875,5.9,5.915,5.915,330800
41,2002-03-28,5.965,6.07,5.8,5.8775,5.8775,330000
42,2002-04-01,5.8375,5.935,5.78,5.8625,5.8625,315200
43,2002-04-02,5.7925,5.94,5.75,5.785,5.785,607600
44,2002-04-03,5.8375,5.8825,5.525,5.685,5.685,531600
45,2002-04-04,5.545,5.6575,5.335,5.35,5.35,673200
46,2002-04-05,5.4475,5.5625,5.1875,5.2125,5.2125,594400
47,2002-04-08,5.2,5.425,5.2,5.3875,5.3875,463200
48,2002-04-09,5.45,5.4975,5.1875,5.2,5.2,443200
49,2002-04-10,5.2125,5.5125,5.2125,5.4975,5.4975,418800
50,2002-04-11,5.4625,5.59,5.175,5.2,5.2,323600
51,2002-04-12,5.215,5.365,5.2,5.325,5.325,329200
52,2002-04-15,5.2025,5.5625,5.1975,5.5525,5.5525,244800
53,2002-04-16,5.5725,5.825,5.5725,5.815,5.815,370000
54,2002-04-17,5.8375,5.8775,5.6075,5.615,5.615,240000
55,2002-04-18,5.7425,5.87,5.655,5.85,5.85,321600
56,2002-04-19,5.875,5.95,5.5,5.5075,5.5075,346800
57,2002-04-22,5.5,5.5125,5.1725,5.2975,5.2975,337600
58,2002-04-23,5.28,5.3425,5.19,5.325,5.325,217600
59,2002-04-24,5.375,5.405,5.2825,5.365,5.365,307600
60,2002-04-25,5.3525,5.355,5.13,5.145,5.145,353200
61,2002-04-26,5.1525,5.24,4.56,4.6025,4.6025,1278000
62,2002-04-29,4.6025,4.7,4.3625,4.385,4.385,646800
63,2002-04-30,4.475,4.6375,4.325,4.62,4.62,759600
64,2002-05-01,4.5375,4.56,4.3175,4.36,4.36,535600
65,2002-05-02,4.3125,4.4875,4.1925,4.2875,4.2875,767200
66,2002-05-03,4.2875,4.3875,4.065,4.2475,4.2475,666000
67,2002-05-06,4.25,4.3125,3.915,3.915,3.915,519200
68,2002-05-07,3.9875,4.055,3.7425,3.7625,3.7625,1027600
69,2002-05-08,3.9175,4.2225,3.88,4.1,4.1,816000
70,2002-05-09,4.0625,4.1225,3.8775,3.9,3.9,476800
71,2002-05-10,3.8625,3.9475,3.69,3.775,3.775,1241200
72,2002-05-13,3.8125,4.0575,3.8125,4.0575,4.0575,386800
73,2002-05-14,4.0775,4.43,4.0775,4.35,4.35,1029600
74,2002-05-15,4.27,4.43,4.195,4.2475,4.2475,310800
75,2002-05-16,4.2425,4.2425,3.9925,4.0325,4.0325,476400
76,2002-05-17,4.04,4.15,4.0,4.0425,4.0425,791600
77,2002-05-20,4.025,4.1425,3.9875,4.1075,4.1075,328400
78,2002-05-21,4.1175,4.1225,3.875,3.875,3.875,446400
79,2002-05-22,3.85,4.0875,3.85,3.9375,3.9375,427200
80,2002-05-23,4.0175,4.3625,3.8125,4.3375,4.3375,414800
81,2002-05-24,4.275,4.495,4.0425,4.0775,4.0775,621600
82,2002-05-28,4.14,4.2975,3.9525,4.2975,4.2975,369200
83,2002-05-29,4.2275,4.2975,4.125,4.1275,4.1275,286000
84,2002-05-30,4.0275,4.2025,3.915,4.2025,4.2025,273200
85,2002-05-31,4.2,4.3,3.935,3.935,3.935,249600
86,2002-06-03,3.875,3.875,3.4875,3.4875,3.4875,858000
87,2002-06-04,3.4675,3.675,3.3,3.66,3.66,1071200
88,2002-06-05,3.6475,3.675,3.5125,3.65,3.65,491200
89,2002-06-06,3.65,3.7075,3.375,3.375,3.375,544800
90,2002-06-07,3.3975,3.9175,3.27,3.9075,3.9075,955200
91,2002-06-10,3.6675,3.8575,3.49,3.515,3.515,1360000
92,2002-06-11,3.525,3.5275,3.0875,3.09,3.09,1180400
93,2002-06-12,3.0875,3.2125,2.9175,3.1375,3.1375,1311600
94,2002-06-13,3.135,3.39,3.135,3.25,3.25,809600
95,2002-06-14,3.25,3.4475,3.19,3.445,3.445,747200
96,2002-06-17,3.455,3.7525,3.405,3.75,3.75,417200
97,2002-06-18,3.75,3.9725,3.5875,3.61,3.61,518800
98,2002-06-19,3.6075,3.705,3.4825,3.51,3.51,468800
99,2002-06-20,3.49,3.575,3.3225,3.375,3.375,411200
100,2002-06-21,3.445,3.5575,3.2225,3.25,3.25,481200
101,2002-06-24,3.2275,3.8125,3.0,3.3725,3.3725,900400
102,2002-06-25,3.41,3.61,3.4075,3.4725,3.4725,733200
103,2002-06-26,3.405,3.59,3.3625,3.465,3.465,881200
104,2002-06-27,3.5,3.75,3.3775,3.5975,3.5975,422800
105,2002-06-28,3.65,3.95,3.6,3.7875,3.7875,1982000
106,2002-07-01,3.705,3.785,3.3775,3.615,3.615,775200
107,2002-07-02,3.5775,3.5975,3.1025,3.25,3.25,628000
108,2002-07-03,3.2475,3.2475,2.8425,3.01,3.01,984400
109,2002-07-05,3.0125,3.2475,3.0125,3.215,3.215,257200
110,2002-07-08,3.2025,3.3725,3.0525,3.055,3.055,302400
111,2002-07-09,3.05,3.1075,2.8325,2.8825,2.8825,406400
112,2002-07-10,2.825,2.8925,2.7425,2.8275,2.8275,1616800
113,2002-07-11,2.8275,2.9,2.75,2.7825,2.7825,1211600
114,2002-07-12,2.85,3.1275,2.665,3.0,3.0,874000
115,2002-07-15,2.94,3.2,2.875,3.19,3.19,729600
116,2002-07-16,3.1625,3.465,3.0275,3.4625,3.4625,784000
117,2002-07-17,3.475,3.58,3.325,3.4925,3.4925,695600
118,2002-07-18,3.495,3.4975,3.325,3.3275,3.3275,506800
119,2002-07-19,3.3325,3.425,3.205,3.325,3.325,577200
120,2002-07-22,3.375,3.45,3.1375,3.18,3.18,535200
121,2002-07-23,3.155,3.3275,3.155,3.26,3.26,1105600
122,2002-07-24,3.19,3.485,3.13,3.4575,3.4575,1258800
123,2002-07-25,3.475,3.475,3.0875,3.1375,3.1375,800400
124,2002-07-26,3.145,3.215,2.94,3.125,3.125,502400
125,2002-07-29,3.175,3.3625,3.1525,3.25,3.25,810400
126,2002-07-30,3.225,3.5625,3.1,3.5475,3.5475,1153600
127,2002-07-31,3.5625,3.9875,3.52,3.8775,3.8775,1142400
128,2002-08-01,3.85,3.91,3.5275,3.5275,3.5275,773600
129,2002-08-02,3.5625,3.6125,3.285,3.4325,3.4325,832400
130,2002-08-05,3.425,3.4575,3.1625,3.2375,3.2375,427200
131,2002-08-06,3.2325,3.475,3.2,3.47,3.47,760000
132,2002-08-07,3.475,3.5375,3.215,3.315,3.315,607600
133,2002-08-08,3.2725,3.6125,3.075,3.5375,3.5375,1029200
134,2002-08-09,3.485,3.65,3.3375,3.3825,3.3825,706000
135,2002-08-12,3.375,3.595,3.3125,3.515,3.515,496800
136,2002-08-13,3.4975,3.525,3.0925,3.1725,3.1725,739600
137,2002-08-14,3.125,3.275,2.975,3.2375,3.2375,974400
138,2002-08-15,3.25,3.3025,3.03,3.1825,3.1825,452000
139,2002-08-16,3.1675,3.2725,3.0625,3.1275,3.1275,348000
140,2002-08-19,3.1,3.1475,2.97,3.0025,3.0025,730800
141,2002-08-20,3.02,3.145,3.02,3.11,3.11,225600
142,2002-08-21,3.08,3.1875,3.0575,3.1875,3.1875,248400
143,2002-08-22,3.1925,3.25,3.0725,3.135,3.135,266000
144,2002-08-23,3.1125,3.15,3.03,3.05,3.05,448800
145,2002-08-26,3.1125,3.115,2.8125,3.085,3.085,566000
146,2002-08-27,3.0975,3.1575,3.0,3.0,3.0,540000
147,2002-08-28,2.985,3.0775,2.915,2.915,2.915,289600
148,2002-08-29,2.9125,3.0475,2.8525,3.0475,3.0475,307600
149,2002-08-30,3.05,3.055,2.905,2.9675,2.9675,488800
150,2002-09-03,2.8725,2.8725,2.6875,2.725,2.725,371600
151,2002-09-04,2.695,3.0,2.6775,2.8825,2.8825,383600
152,2002-09-05,2.88,2.88,2.66,2.7175,2.7175,368800
