,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,7.21,7.56,7.21,7.525,4.684008,3213400
1,2002-01-30,7.525,7.6,7.44,7.525,4.684008,2591200
2,2002-01-31,7.5,7.79,7.4,7.775,4.839622,3274400
3,2002-02-01,7.775,7.99,7.745,7.925,4.932989,1641400
4,2002-02-04,7.81,7.84,7.62,7.755,4.827172,3411200
5,2002-02-05,7.76,7.84,7.665,7.745,4.8209480000000005,3471200
6,2002-02-06,7.79,7.875,7.655,7.705,4.79605,3224800
7,2002-02-07,7.7,7.79,7.645,7.66,4.76804,2876000
8,2002-02-08,7.7,7.975,7.675,7.775,4.839622,2496600
9,2002-02-11,7.725,7.85,7.655,7.75,4.824058999999999,1817400
10,2002-02-12,7.75,7.79,7.6,7.68,4.780486,1895800
11,2002-02-13,7.7,7.995,7.675,7.98,4.967223000000001,1994400
12,2002-02-14,8.0,8.045,7.735,7.735,4.814723000000001,8021800
13,2002-02-15,7.735,7.95,7.735,7.85,4.886305,3593800
14,2002-02-19,7.75,7.77,7.415,7.46,4.643547,2677400
15,2002-02-20,7.325,7.375,7.16,7.215,4.4910440000000005,2683600
16,2002-02-21,7.2,7.325,7.125,7.15,4.450583999999999,3412400
17,2002-02-22,7.15,7.225,6.875,6.99,4.350992,1935800
18,2002-02-25,7.025,7.195,7.025,7.095,4.416348999999999,2710600
19,2002-02-26,7.125,7.29,7.08,7.22,4.494155,4725200
20,2002-02-27,7.3,7.44,7.295,7.35,4.575076,1901200
21,2002-02-28,7.375,7.425,7.31,7.325,4.559514,4248200
22,2002-03-01,7.325,7.715,7.285,7.715,4.802274,3061000
23,2002-03-04,7.715,8.02,7.7,7.93,4.936101,8872000
24,2002-03-05,7.825,7.875,7.53,7.595,4.727579,2326200
25,2002-03-06,7.55,7.92,7.55,7.815,4.8645190000000005,5815200
26,2002-03-07,7.9,7.94,7.695,7.725,4.8085,3128400
27,2002-03-08,7.735,7.79,7.485,7.65,4.761814,1665200
28,2002-03-11,7.65,7.77,7.65,7.725,4.8085,3126200
29,2002-03-12,7.73,7.92,7.73,7.89,4.9112029999999995,2820800
30,2002-03-13,7.89,7.99,7.73,7.76,4.830284,5173000
31,2002-03-14,7.66,7.78,7.635,7.695,4.789823,2233800
32,2002-03-15,7.71,7.725,7.575,7.62,4.74314,2137800
33,2002-03-18,7.62,7.795,7.62,7.745,4.8209480000000005,2786800
34,2002-03-19,7.875,8.2,7.875,8.05,5.010797,3773000
35,2002-03-20,8.0,8.255,7.975,8.235,5.125952,2240800
36,2002-03-21,8.24,8.265,8.055,8.065,5.020134,2457000
37,2002-03-22,8.065,8.26,8.05,8.09,5.035696,1163600
38,2002-03-25,8.1,8.225,8.025,8.1,5.0419220000000005,2248800
39,2002-03-26,8.125,8.4,8.125,8.225,5.119729,2481600
40,2002-03-27,8.385,8.875,8.36,8.85,5.5087660000000005,5591600
41,2002-03-28,8.9,8.92,8.74,8.81,5.483868,2027200
42,2002-04-01,8.8,9.07,8.725,8.975,5.5865730000000005,3555000
43,2002-04-02,9.0,9.0,8.8,8.875,5.5243269999999995,1659600
44,2002-04-03,8.76,8.79,8.465,8.575,5.337587999999999,1801600
45,2002-04-04,8.575,8.88,8.3,8.63,5.371822,2466600
46,2002-04-05,8.63,8.69,8.4,8.57,5.334478,1357800
47,2002-04-08,8.575,8.775,8.57,8.7,5.415394999999999,1906000
48,2002-04-09,8.705,8.85,8.7,8.785,5.468303,1693000
49,2002-04-10,8.78,8.92,8.76,8.875,5.5243269999999995,1663000
50,2002-04-11,8.875,8.89,8.7,8.73,5.434069,1013800
51,2002-04-12,8.74,8.82,8.7,8.775,5.462082,1898200
52,2002-04-15,8.8,8.81,8.66,8.705,5.418508999999999,1071800
53,2002-04-16,8.69,8.84,8.51,8.81,5.483868,1681400
54,2002-04-17,8.875,9.25,8.84,9.215,5.735964,3662000
55,2002-04-18,9.25,9.3,9.1,9.155,5.698616,9248600
56,2002-04-19,9.15,9.155,9.045,9.105,5.667492,2509600
57,2002-04-22,9.15,9.245,9.125,9.165,5.704842,2240200
58,2002-04-23,9.15,9.17,9.085,9.105,5.667492,1919600
59,2002-04-24,9.105,9.21,8.785,8.815,5.486979,2865400
60,2002-04-25,8.89,9.075,8.585,8.665,5.393612,2666600
61,2002-04-26,8.65,9.05,8.54,9.045,5.630145,2029000
62,2002-04-29,9.0,9.265,9.0,9.2,5.726625,2226200
63,2002-04-30,9.2,9.2,8.85,8.88,5.527438,2350600
64,2002-05-01,8.825,8.965,8.805,8.91,5.546113,2156800
65,2002-05-02,8.75,8.955,8.685,8.8,5.477644000000001,1813200
66,2002-05-03,8.805,9.085,8.8,8.94,5.564786,1316400
67,2002-05-06,9.0,9.0,8.765,8.845,5.505653,5606400
68,2002-05-07,8.925,9.115,8.825,8.84,5.502541000000001,2270600
69,2002-05-08,8.885,9.075,8.83,9.015,5.61147,1240200
70,2002-05-09,8.8,9.085,8.8,9.085,5.655044999999999,1370400
71,2002-05-10,9.075,9.215,9.07,9.16,5.701727,2573800
72,2002-05-13,9.175,9.375,9.04,9.375,5.835555,2525800
73,2002-05-14,9.315,9.315,8.875,8.975,5.5865730000000005,3871000
74,2002-05-15,9.175,9.3,9.025,9.125,5.67994,3810400
75,2002-05-16,9.145,9.265,9.025,9.12,5.676829,1058400
76,2002-05-17,9.075,9.35,9.075,9.3,5.7888720000000005,1935400
77,2002-05-20,9.375,9.685,9.25,9.55,5.9444870000000005,3069000
78,2002-05-21,9.585,9.8,9.395,9.79,6.093877,3882000
79,2002-05-22,9.85,10.075,9.74,9.875,6.146787000000001,8130000
80,2002-05-23,9.85,10.22,9.7,10.12,6.299288,3360000
81,2002-05-24,10.075,10.125,10.0,10.025,6.240155000000001,2570600
82,2002-05-28,10.025,10.415,10.0,10.4,6.473576,4581000
83,2002-05-29,10.4,10.4,9.925,9.93,6.1810220000000005,5652200
84,2002-05-30,9.775,9.945,9.57,9.57,5.956936,7892400
85,2002-05-31,9.725,10.025,9.63,9.875,6.146787000000001,2619800
86,2002-06-03,9.88,10.175,9.875,10.08,6.2743910000000005,3324600
87,2002-06-04,10.15,10.35,9.94,9.945,6.190358,3183800
88,2002-06-05,9.825,10.05,9.7,10.05,6.255717,2933000
89,2002-06-06,10.01,10.195,9.9,9.92,6.174799,3290200
90,2002-06-07,9.99,10.145,9.57,9.575,5.960049,3787600
91,2002-06-10,9.525,9.575,9.155,9.3,5.7888720000000005,2764400
92,2002-06-11,9.15,9.32,9.075,9.25,5.757749,3951800
93,2002-06-12,9.325,9.495,9.215,9.22,5.739077,3519600
94,2002-06-13,9.125,9.23,9.05,9.08,5.651932,1830600
95,2002-06-14,9.2,9.5,9.2,9.4,5.851118,3487800
96,2002-06-17,9.3,9.3,9.15,9.21,5.732851,2517000
