,Date,Open,High,Low,Close,Adj Close,Volume
0,1/29/2002,14.35,14.44,13.75,13.86,9.414454,4769500
1,1/30/2002,13.9,13.94,13.36,13.94,9.468797,5245800
2,1/31/2002,13.91,14.4,13.81,14.4,9.781247,3415000
3,2/1/2002,14.06,14.35,13.81,14.1,9.577478,3685100
4,2/4/2002,13.8,13.81,13.15,13.37,9.08162,5566500
5,2/5/2002,13.22,13.54,13.04,13.49,9.16313,3836700
6,2/6/2002,13.33,13.55,12.75,12.9,8.762373,5450000
7,2/7/2002,13.2,13.47,12.96,13.1,8.898221,6758800
8,2/8/2002,13.03,13.03,12.45,12.7,8.626524,5981000
9,2/11/2002,12.6,13.19,12.58,13.15,8.932189,4037500
10,2/12/2002,13,13.25,12.89,12.95,8.796334,3128800
11,2/13/2002,13.28,13.46,13.08,13.34,9.061246,2668000
12,2/14/2002,13.44,13.98,12.62,12.79,8.687653,10147500
13,2/15/2002,12.71,12.75,11.91,12.35,8.388783,11397700
14,2/19/2002,12.18,12.75,12.11,12.26,8.327649,4102100
15,2/20/2002,12.26,13.62,12.26,13.33,9.05445,6584000
16,2/21/2002,13.23,13.29,12.96,13.06,8.871049,3975000
17,2/22/2002,12.83,12.97,12.3,12.41,8.42954,5745300
18,2/25/2002,12.47,13.32,12.35,12.94,8.789541,7438700
19,2/26/2002,13.01,13.8,13,13.55,9.219707,4562200
20,2/27/2002,12.45,13.1,12.25,12.4,8.437217,32208200
21,2/28/2002,12.15,12.25,11.85,11.97,8.144638,33816800
22,3/1/2002,12.03,12.14,11.92,12.07,8.212681,14489500
23,3/4/2002,12.06,12.59,11.97,12.38,8.423613,14482400
24,3/5/2002,13,13.26,12.85,12.86,8.750214,21301600
25,3/6/2002,13.1,13.29,12.91,13.18,8.967949,12618100
26,3/7/2002,13.25,13.56,13.01,13.51,9.192484,11373400
27,3/8/2002,13.9,14.09,13.65,13.91,9.464658,11842500
28,3/11/2002,13.6,14.23,13.54,14.15,9.627955,6622100
29,3/12/2002,14.25,14.26,13.89,14.06,9.566723,8019400
30,3/13/2002,14.05,14.05,13.72,13.95,9.491871,4035100
31,3/14/2002,13.85,14.48,13.78,14.4,9.798059,5910400
32,3/15/2002,14.35,14.54,14.04,14.18,9.64837,4698100
33,3/18/2002,14.25,14.48,14.07,14.26,9.702803,4922100
34,3/19/2002,14.36,14.9,14.36,14.7,10.002187,4504100
35,3/20/2002,14.94,15.6,14.7,15.31,10.417247,9271300
36,3/21/2002,15.17,15.7,14.91,15.13,10.294767,5405400
37,3/22/2002,14.93,15.11,14.63,14.7,10.002187,3137300
38,3/25/2002,14.9,14.93,14.45,14.5,9.866101,4936500
39,3/26/2002,14.4,14.85,14.38,14.42,9.811673,3620700
40,3/27/2002,14.52,15,14.45,15,10.206316,1982400
41,3/28/2002,15.2,15.3,15.04,15.04,10.233529,2356100
42,4/1/2002,14.76,14.98,14.55,14.93,10.158687,2528700
43,4/2/2002,14.83,14.88,14.55,14.71,10.008994,3720700
44,4/3/2002,14.7,14.97,14.32,14.76,10.043015,3212800
45,4/4/2002,14.51,15.28,14.51,15.27,10.390031,5422600
46,4/5/2002,15.7,15.9,15.43,15.45,10.512503,7191500
47,4/8/2002,15.18,15.71,15.13,15.67,10.662198,4739500
48,4/9/2002,15.68,15.81,15.4,15.47,10.526113,6906200
