,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,10.275,10.395,9.95,10.125,10.125,665600
1,2002-01-30,10.125,10.4,9.85,10.31,10.31,343000
2,2002-01-31,10.35,10.7,10.35,10.535,10.535,510600
3,2002-02-01,10.585,10.585,10.18,10.45,10.45,329800
4,2002-02-04,10.5,10.715,10.385,10.5,10.5,991000
5,2002-02-05,10.55,10.55,10.26,10.275,10.275,233200
6,2002-02-06,10.875,12.24,10.875,12.205,12.205,2079400
7,2002-02-07,12.33,12.875,12.175,12.18,12.18,1329200
8,2002-02-08,12.185,12.22,11.375,12.165,12.165,1533400
9,2002-02-11,12.17,12.825,12.05,12.775,12.775,875200
10,2002-02-12,12.5,12.75,12.315,12.575,12.575,694800
11,2002-02-13,12.575,13.225,12.575,12.93,12.93,792400
12,2002-02-14,13.05,13.1,12.35,12.55,12.55,872800
13,2002-02-15,12.55,12.75,12.37,12.605,12.605,746600
14,2002-02-19,12.605,12.85,12.45,12.555,12.555,1429800
15,2002-02-20,12.555,13.65,12.555,13.5,13.5,860000
16,2002-02-21,13.375,14.51,13.135,14.255,14.255,2097600
17,2002-02-22,13.975,13.98,12.5,13.0,13.0,8067600
18,2002-02-25,13.0,13.565,12.31,13.51,13.51,4243000
19,2002-02-26,13.5,13.505,12.8,13.31,13.31,6253000
20,2002-02-27,13.275,13.56,12.975,13.505,13.505,1693800
21,2002-02-28,13.5,13.625,13.1,13.37,13.37,975200
22,2002-03-01,13.37,13.575,13.255,13.285,13.285,1044600
23,2002-03-04,13.245,13.49,13.0,13.26,13.26,1267200
24,2002-03-05,13.26,13.45,13.175,13.275,13.275,844400
25,2002-03-06,13.525,14.25,13.375,13.9,13.9,2520200
26,2002-03-07,14.25,14.85,13.99,14.155,14.155,3195800
27,2002-03-08,14.5,14.85,14.3,14.515,14.515,1725400
28,2002-03-11,14.43,14.47,14.125,14.225,14.225,1253000
29,2002-03-12,14.1,14.3,13.875,14.04,14.04,1222600
30,2002-03-13,14.075,14.54,14.075,14.325,14.325,969000
31,2002-03-14,14.3,14.54,14.26,14.475,14.475,1055800
32,2002-03-15,14.45,14.495,13.9,14.4,14.4,1574600
33,2002-03-18,14.5,14.75,14.35,14.7,14.7,1006200
34,2002-03-19,14.825,15.04,14.24,14.24,14.24,1662400
35,2002-03-20,14.25,14.25,13.25,13.475,13.475,4413600
36,2002-03-21,13.475,13.5,12.495,13.0,13.0,4344400
37,2002-03-22,13.05,13.32,12.93,13.09,13.09,1760000
38,2002-03-25,13.12,13.13,12.5,12.51,12.51,1745800
39,2002-03-26,12.515,12.735,12.455,12.59,12.59,2383200
40,2002-03-27,12.615,12.745,12.51,12.675,12.675,1385200
41,2002-03-28,12.725,13.075,12.685,12.93,12.93,1612000
42,2002-04-01,12.92,13.375,12.375,13.255,13.255,3291800
43,2002-04-02,13.05,13.06,12.45,12.48,12.48,3945600
44,2002-04-03,12.605,13.015,12.605,12.675,12.675,2687000
45,2002-04-04,12.675,12.875,12.53,12.85,12.85,1252000
46,2002-04-05,13.025,13.61,13.025,13.505,13.505,2714400
47,2002-04-08,13.505,14.49,13.38,14.35,14.35,2129000
48,2002-04-09,14.355,14.8,14.3,14.725,14.725,3862200
49,2002-04-10,14.675,15.35,14.67,15.015,15.015,1666600
50,2002-04-11,14.975,15.0,14.725,14.855,14.855,1618200
51,2002-04-12,14.86,15.45,14.86,15.45,15.45,1181400
52,2002-04-15,15.465,15.49,14.965,15.015,15.015,777200
53,2002-04-16,15.05,15.45,15.01,15.125,15.125,1031200
54,2002-04-17,15.125,15.17,14.255,14.455,14.455,1397200
55,2002-04-18,14.075,14.265,13.65,14.25,14.25,2181400
56,2002-04-19,14.255,14.65,14.25,14.42,14.42,525200
57,2002-04-22,14.35,14.35,13.925,13.995,13.995,730200
58,2002-04-23,13.4,13.9,13.21,13.585,13.585,2819000
59,2002-04-24,13.55,13.975,13.55,13.79,13.79,943800
60,2002-04-25,13.74,14.43,13.675,14.225,14.225,1358800
61,2002-04-26,14.225,15.0,14.15,14.685,14.685,1999600
62,2002-04-29,14.635,14.925,14.185,14.275,14.275,817600
63,2002-04-30,14.28,14.805,14.28,14.75,14.75,1672200
64,2002-05-01,14.725,14.925,14.125,14.75,14.75,1637400
65,2002-05-02,14.9,15.9,14.9,15.8,15.8,2981200
66,2002-05-03,15.8,16.5,15.455,15.96,15.96,3243000
67,2002-05-06,15.96,16.629998999999998,15.85,16.15,16.15,2048600
68,2002-05-07,16.15,16.17,15.78,16.01,16.01,912400
69,2002-05-08,16.049999,16.549999,15.995,16.035,16.035,1235400
70,2002-05-09,15.975,17.0,15.975,16.65,16.65,2274400
71,2002-05-10,16.639999,16.639999,15.88,16.110001,16.110001,1469000
72,2002-05-13,16.110001,16.299999,16.110001,16.285,16.285,1003000
73,2002-05-14,16.285,16.299999,14.8,15.21,15.21,5850800
74,2002-05-15,15.175,15.82,14.9,15.7,15.7,1921600
75,2002-05-16,15.65,15.66,14.875,15.005,15.005,1610800
76,2002-05-17,14.51,14.925,13.7,14.7,14.7,6142800
77,2002-05-20,14.625,14.755,14.245,14.25,14.25,1622400
78,2002-05-21,14.255,14.575,13.93,14.05,14.05,1959600
79,2002-05-22,14.01,14.25,13.925,14.025,14.025,1105200
80,2002-05-23,13.95,14.36,13.85,14.36,14.36,592000
81,2002-05-24,14.36,14.425,14.01,14.075,14.075,539000
82,2002-05-28,14.08,14.08,13.25,13.265,13.265,2508200
83,2002-05-29,13.2,13.515,13.025,13.2,13.2,1367000
84,2002-05-30,13.075,13.075,12.4,12.815,12.815,3392800
85,2002-05-31,12.8,13.475,12.775,13.235,13.235,1781600
86,2002-06-03,13.24,13.325,12.46,12.475,12.475,1876600
87,2002-06-04,12.475,12.625,11.9,12.31,12.31,1796200
88,2002-06-05,12.29,13.375,12.29,12.615,12.615,1919000
89,2002-06-06,12.625,12.83,12.1,12.14,12.14,2146800
90,2002-06-07,12.025,12.14,11.625,11.8,11.8,2963600
91,2002-06-10,11.775,12.475,11.675,12.425,12.425,2031200
92,2002-06-11,12.425,12.655,11.8,11.95,11.95,1293000
93,2002-06-12,11.95,11.99,11.125,11.89,11.89,1892600
94,2002-06-13,12.0,12.075,11.45,11.56,11.56,1584600
95,2002-06-14,11.435,11.8,10.975,11.325,11.325,2529400
96,2002-06-17,10.95,11.85,10.725,11.625,11.625,3510400
97,2002-06-18,11.45,11.75,11.125,11.71,11.71,2235800
98,2002-06-19,11.695,12.29,11.575,11.82,11.82,1279400
99,2002-06-20,11.82,12.19,11.075,11.4,11.4,2144600
100,2002-06-21,11.39,11.625,10.9,11.275,11.275,1227000
101,2002-06-24,11.26,11.265,10.745,10.955,10.955,1912400
102,2002-06-25,11.05,11.375,10.575,10.69,10.69,1152000
103,2002-06-26,10.475,10.6,10.025,10.575,10.575,1020000
104,2002-06-27,11.0,11.1,10.355,10.975,10.975,1487200
105,2002-06-28,11.0,11.25,10.745,10.825,10.825,1819200
106,2002-07-01,10.875,11.025,10.145,10.25,10.25,3274600
107,2002-07-02,10.25,10.295,9.3,9.65,9.65,3438800
108,2002-07-03,9.655,9.875,9.25,9.725,9.725,1387200
109,2002-07-05,9.85,10.36,9.85,10.18,10.18,599800
110,2002-07-08,10.25,10.425,9.92,10.125,10.125,898800
111,2002-07-09,10.125,10.45,10.1,10.1,10.1,1762200
112,2002-07-10,10.3,10.3,9.3,9.495,9.495,2217400
113,2002-07-11,9.42,9.62,8.995,9.25,9.25,1176400
114,2002-07-12,9.25,9.725,9.2,9.26,9.26,766800
115,2002-07-15,9.21,9.21,8.55,9.06,9.06,1831400
116,2002-07-16,9.06,9.225,8.84,9.025,9.025,993800
117,2002-07-17,9.05,9.275,8.37,8.875,8.875,1426000
118,2002-07-18,8.85,9.11,8.525,8.625,8.625,1086400
119,2002-07-19,8.5,8.575,8.205,8.315,8.315,705400
120,2002-07-22,8.315,8.315,7.74,7.745,7.745,2528200
121,2002-07-23,7.7,8.05,7.505,7.725,7.725,2312200
122,2002-07-24,7.6,8.65,7.35,8.59,8.59,1104000
123,2002-07-25,8.59,8.75,8.045,8.25,8.25,1136400
124,2002-07-26,8.295,8.6,8.295,8.46,8.46,712200
