,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,30.15,30.6,29.34,29.620001000000002,24.055149,779100
1,2002-01-30,29.549999,29.93,28.0,29.620001000000002,24.055149,794300
2,2002-01-31,29.450001,29.99,29.0,29.5,23.957691,777200
3,2002-02-01,29.08,29.700001,29.0,29.34,23.827751,448200
4,2002-02-04,29.15,29.309998999999998,27.799999,28.040001,22.771984,1119700
5,2002-02-05,27.549999,27.549999,26.469998999999998,26.700001,21.683748,1229900
6,2002-02-06,27.0,27.190001000000002,25.51,25.950001,21.074644,1735000
7,2002-02-07,26.049999,27.15,25.790001,26.67,21.659367,893000
8,2002-02-08,26.84,27.200001,25.85,26.469998999999998,21.496944,956700
9,2002-02-11,26.049999,26.9,25.700001,26.5,21.521320000000003,913000
10,2002-02-12,26.4,26.84,25.299999,26.219998999999998,21.293919,1031600
11,2002-02-13,26.35,26.639999,25.879998999999998,26.0,21.115261,1081600
12,2002-02-14,26.25,26.290001,25.379998999999998,25.49,20.701067000000002,627900
13,2002-02-15,25.51,25.58,24.67,24.92,20.238152,988900
14,2002-02-19,24.5,24.74,24.059998999999998,24.33,19.759005,538100
15,2002-02-20,24.059998999999998,24.73,24.059998999999998,24.459999,19.864582000000002,668700
16,2002-02-21,24.17,24.5,23.9,24.02,19.50725,744200
17,2002-02-22,24.1,24.219998999999998,23.52,23.629998999999998,19.190521,610300
18,2002-02-25,23.799999,24.25,23.02,24.049999,19.531607,1371800
19,2002-02-26,24.18,24.52,23.530001000000002,24.379998999999998,19.799604000000002,871700
20,2002-02-27,24.66,24.940001000000002,23.34,23.65,19.206762,979300
21,2002-02-28,23.65,23.940001000000002,22.809998999999998,23.0,18.678886,1002700
22,2002-03-01,20.5,23.0,15.71,15.75,12.790974,16194000
23,2002-03-04,16.5,17.1,16.0,16.209999,13.164549,5706000
24,2002-03-05,16.209999,16.84,16.02,16.76,13.611216,5944300
25,2002-03-06,16.75,17.549999,16.75,17.0,13.806126999999998,9412300
26,2002-03-07,17.200001,17.879998999999998,17.0,17.700001,14.374616,2902800
27,2002-03-08,17.799999,18.1,16.950001,17.57,14.269039999999999,4306300
28,2002-03-11,17.4,17.450001,16.799999,17.07,13.86297,2174200
29,2002-03-12,16.75,17.6,16.5,17.299999,14.049767999999998,3033500
30,2002-03-13,17.389999,17.629998999999998,17.200001,17.5,14.212192000000002,1213700
31,2002-03-14,17.41,17.83,16.950001,17.209999,13.976676000000001,1558600
32,2002-03-15,17.58,17.58,17.25,17.360001,14.098494,1129700
33,2002-03-18,17.639999,17.690001000000002,17.35,17.59,14.285279000000001,1120100
34,2002-03-19,17.67,18.18,17.6,17.85,14.496437,1515700
35,2002-03-20,17.85,18.25,17.700001,18.030001000000002,14.642614000000002,1301300
36,2002-03-21,18.0,18.1,17.5,17.76,14.423347,803600
37,2002-03-22,17.98,18.0,17.379998999999998,17.65,14.334010999999999,847000
38,2002-03-25,17.639999,17.68,17.059998999999998,17.35,14.090371,1511700
39,2002-03-26,17.6,17.98,17.32,17.65,14.334010999999999,1054800
40,2002-03-27,17.799999,18.08,17.51,17.969998999999998,14.593886,938900
41,2002-03-28,18.15,18.5,18.02,18.5,15.024316,1000100
42,2002-04-01,18.219998999999998,18.6,18.059998999999998,18.6,15.105523000000002,661400
43,2002-04-02,18.16,18.370001000000002,17.9,18.17,14.756314000000001,1285700
44,2002-04-03,18.0,18.030001000000002,17.26,17.4,14.130970000000001,767300
45,2002-04-04,17.4,17.450001,16.950001,17.24,14.001039000000002,952200
46,2002-04-05,17.42,17.57,17.0,17.24,14.001039000000002,1503400
47,2002-04-08,17.0,17.16,16.5,16.790001,13.63558,1488500
48,2002-04-09,16.85,16.99,16.57,16.67,13.538122,596600
49,2002-04-10,16.620001000000002,16.85,16.440001000000002,16.700001,13.562489999999999,846000
50,2002-04-11,15.5,15.52,11.78,12.01,9.753625,10579800
51,2002-04-12,12.2,12.22,11.8,12.11,9.834835,4201200
52,2002-04-15,12.35,12.55,12.1,12.45,10.110959,1032700
53,2002-04-16,12.67,13.25,12.67,12.8,10.3952,1505600
54,2002-04-17,12.76,13.3,12.76,13.3,10.860660000000001,1141600
55,2002-04-18,13.44,13.49,12.96,13.24,10.811666,876300
56,2002-04-19,13.29,13.67,13.19,13.58,11.089303999999998,1168800
57,2002-04-22,13.75,13.75,13.25,13.36,10.909653,1009500
58,2002-04-23,13.56,13.56,12.96,13.0,10.615685000000001,765500
59,2002-04-24,12.95,13.07,12.76,12.9,10.53402,1059300
60,2002-04-25,12.98,13.03,12.06,12.48,10.191051,1331200
61,2002-04-26,12.8,12.8,11.88,11.95,9.758261,1997600
62,2002-04-29,12.14,12.65,12.01,12.61,10.297214,1539900
63,2002-04-30,12.61,12.95,12.35,12.8,10.452359,939700
64,2002-05-01,12.65,12.65,11.8,12.38,10.109396,1242100
65,2002-05-02,12.43,12.6,12.1,12.49,10.199218,625600
66,2002-05-03,12.5,12.5,11.93,12.31,10.052236,666400
67,2002-05-06,12.41,12.47,11.92,11.98,9.782761,843000
68,2002-05-07,12.1,12.35,11.85,12.17,9.937911,1080500
69,2002-05-08,12.4,12.99,12.31,12.99,10.607517,795500
70,2002-05-09,12.75,13.27,12.3,12.31,10.052236,931900
71,2002-05-10,12.31,12.53,12.03,12.35,10.084897999999999,443700
72,2002-05-13,12.35,12.7,12.21,12.56,10.25638,357200
73,2002-05-14,12.85,13.43,12.83,13.37,10.917824000000001,961200
74,2002-05-15,13.38,14.1,13.27,13.76,11.236288,946900
75,2002-05-16,13.77,14.25,13.76,14.04,11.464939,947500
76,2002-05-17,14.04,14.4,13.9,14.0,11.432277000000001,1003600
77,2002-05-20,14.0,14.23,13.88,14.07,11.489432,837300
78,2002-05-21,14.07,14.1,13.35,13.6,11.105639,598500
79,2002-05-22,13.6,14.04,13.6,13.8,11.268957,903400
80,2002-05-23,13.81,14.67,13.7,14.62,11.938558,1606500
81,2002-05-24,14.3,14.3,13.5,14.08,11.497599000000001,934900
82,2002-05-28,14.09,14.37,13.82,14.03,11.45677,392300
83,2002-05-29,14.03,14.5,13.92,14.03,11.45677,702400
84,2002-05-30,14.03,14.1,13.35,13.89,11.342449,504400
85,2002-05-31,13.93,14.18,13.84,13.97,11.407777000000001,731900
86,2002-06-03,13.87,13.87,12.9,13.02,10.632010000000001,592000
87,2002-06-04,13.03,13.49,13.0,13.32,10.876992999999999,868300
88,2002-06-05,13.32,13.56,12.8,13.29,10.852494,702500
89,2002-06-06,13.29,13.35,12.99,13.35,10.901492,425300
90,2002-06-07,13.35,13.38,12.86,13.36,10.909653,659900
91,2002-06-10,13.31,13.31,13.07,13.22,10.795331,508600
92,2002-06-11,13.25,13.32,12.92,13.0,10.615685000000001,665100
93,2002-06-12,12.95,13.01,12.6,12.7,10.370704,771900
94,2002-06-13,12.7,13.18,12.7,12.95,10.57485,728300
95,2002-06-14,12.85,12.9,12.0,12.61,10.297214,700000
96,2002-06-17,12.65,13.0,12.55,12.7,10.370704,898300
97,2002-06-18,12.3,12.57,12.1,12.25,10.003239,1883000
98,2002-06-19,12.15,12.35,12.02,12.16,9.929745,783100
99,2002-06-20,12.16,12.2,11.11,11.26,9.194815,1756400
100,2002-06-21,10.93,11.59,10.93,11.0,8.982497,1366700
101,2002-06-24,10.85,11.2,10.66,11.1,9.064158,808700
102,2002-06-25,11.2,11.3,10.48,10.97,8.958002,746600
103,2002-06-26,10.97,11.15,10.44,11.15,9.104985000000001,735800
104,2002-06-27,11.15,11.5,11.05,11.17,9.121322,846900
105,2002-06-28,11.17,11.49,10.93,11.05,9.023328,1130500
106,2002-07-01,11.15,11.28,10.26,10.27,8.386388,543900
107,2002-07-02,10.27,10.27,9.74,9.84,8.035254,1309100
108,2002-07-03,9.6,9.95,9.26,9.45,7.716786,1602200
109,2002-07-05,9.46,10.24,9.45,10.18,8.312896,528100
110,2002-07-08,10.16,10.16,9.75,9.79,7.994428,381600
111,2002-07-09,9.71,10.05,9.45,9.6,7.8392729999999995,461200
112,2002-07-10,9.61,9.75,9.27,9.35,7.635122,502200
113,2002-07-11,9.25,9.5,8.9,9.21,7.520802000000001,1336000
114,2002-07-12,9.11,9.72,8.95,9.7,7.92093,835600
115,2002-07-15,9.68,9.68,8.7,9.0,7.349319,1187300
116,2002-07-16,9.04,9.13,8.74,8.75,7.145171,770300
117,2002-07-17,9.0,9.2,8.4,8.68,7.145171,823300
118,2002-07-18,8.6,8.77,8.1,8.27,6.80767,1027800
119,2002-07-19,8.2,8.25,7.7,7.7,6.338455000000001,1012300
120,2002-07-22,7.48,7.74,7.21,7.35,6.050346,1216700
121,2002-07-23,7.25,7.4,6.48,6.85,5.638757,1803800
122,2002-07-24,6.8,7.5,6.5,7.5,6.173822,1318600
123,2002-07-25,7.5,8.3,7.3,7.35,6.050346,2118700
124,2002-07-26,7.28,7.4,6.59,6.7,5.515280000000001,1472400
125,2002-07-29,6.95,7.3,6.88,7.25,5.9680279999999994,1116500
126,2002-07-30,7.26,8.15,7.1,7.82,6.437241,1462500
127,2002-07-31,7.85,7.85,7.51,7.62,6.272604,658000
128,2002-08-01,7.52,7.92,7.52,7.8,6.420776999999999,823700
129,2002-08-02,7.7,7.85,7.37,7.85,6.461933999999999,1140700
130,2002-08-05,7.56,7.88,7.25,7.32,6.025651,1139800
131,2002-08-06,7.54,7.74,7.31,7.31,6.017418,585000
132,2002-08-07,7.55,7.58,7.0,7.3,6.009186,1790900
133,2002-08-08,7.4,7.73,7.25,7.73,6.3631519999999995,717500
134,2002-08-09,7.73,7.74,7.4,7.57,6.231444000000001,694300
135,2002-08-12,7.47,7.5,5.92,6.31,5.194242,1900100
136,2002-08-13,6.38,6.45,5.79,5.8,4.774424,2111200
137,2002-08-14,5.81,5.85,5.6,5.7,4.6921040000000005,1053500
138,2002-08-15,5.75,5.98,5.05,5.09,4.189968,1129000
139,2002-08-16,5.1,5.19,4.28,4.88,4.0171,2533000
140,2002-08-19,5.3,5.58,5.2,5.48,4.511006,1410500
141,2002-08-20,5.5,5.78,5.26,5.29,4.354603,817800
142,2002-08-21,5.39,5.5,5.0,5.32,4.379299,1051200
143,2002-08-22,5.55,6.29,5.46,6.25,5.1448540000000005,1248900
144,2002-08-23,6.1,6.15,5.81,5.84,4.807351000000001,909200
145,2002-08-26,5.88,5.94,5.6,5.85,4.815580000000001,763000
146,2002-08-27,6.0,6.08,5.51,5.59,4.601557,595500
147,2002-08-28,5.56,5.56,5.35,5.38,4.428688,569400
148,2002-08-29,5.28,5.59,5.23,5.45,4.486308,1245500
149,2002-08-30,5.45,5.7,5.42,5.7,4.6921040000000005,827800
150,2002-09-03,5.64,5.64,5.13,5.42,4.461616,1218100
151,2002-09-04,5.33,5.6,5.28,5.6,4.609786,741400
152,2002-09-05,5.57,5.6,5.15,5.3,4.362833,1042500
153,2002-09-06,5.34,5.55,5.34,5.52,4.543933,701000
154,2002-09-09,5.42,5.6,5.28,5.5,4.527469,1905400
155,2002-09-10,5.52,5.65,5.48,5.6,4.609786,775800
156,2002-09-11,5.73,5.75,5.65,5.66,4.659179,261900
