,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,12.8,13.0,12.66,12.9,11.435878,1084000
1,2002-01-30,12.85,12.95,12.5,12.91,11.444747,371600
2,2002-01-31,12.93,12.94,12.8,12.9,11.435878,251200
3,2002-02-01,12.9,13.1,12.1,12.26,10.868518,942200
4,2002-02-04,12.41,12.47,11.8,11.88,10.531647,905100
5,2002-02-05,11.86,12.04,11.74,11.82,10.478457,740400
6,2002-02-06,11.77,11.85,11.3,11.3,10.017477,848500
7,2002-02-07,11.46,11.61,11.13,11.13,9.866767999999999,883500
8,2002-02-08,11.13,11.25,10.78,10.96,9.716064999999999,1218700
9,2002-02-11,10.92,11.43,10.92,11.3,10.017477,1147100
10,2002-02-12,11.3,11.4,11.13,11.3,10.017477,622600
11,2002-02-13,11.32,11.55,11.21,11.49,10.185907,408500
12,2002-02-14,11.5,11.65,11.0,11.0,9.751525,355600
13,2002-02-15,11.06,11.31,10.99,11.0,9.751525,407600
14,2002-02-19,11.08,11.09,10.78,10.88,9.645145,297700
15,2002-02-20,10.85,11.24,10.85,11.0,9.751525,330300
16,2002-02-21,11.01,11.24,10.79,10.8,9.57423,333200
17,2002-02-22,10.91,11.15,10.66,10.99,9.742661,1325100
18,2002-02-25,11.05,11.09,10.8,10.95,9.707197,512500
19,2002-02-26,10.85,11.05,10.81,10.94,9.698332,402200
20,2002-02-27,11.1,11.4,11.01,11.23,9.95542,477700
21,2002-02-28,10.99,11.39,10.95,11.19,9.919962,752100
22,2002-03-01,11.07,11.3,11.02,11.2,9.928823,408200
23,2002-03-04,11.15,11.55,11.14,11.26,9.982014999999999,663000
24,2002-03-05,11.14,11.18,10.56,11.15,9.884497,1632800
25,2002-03-06,11.14,11.15,10.82,10.97,9.724929,476600
26,2002-03-07,11.01,11.1,10.9,10.98,9.733794999999999,457300
27,2002-03-08,10.95,11.35,10.93,11.29,10.008609,565100
28,2002-03-11,11.35,12.0,11.33,11.99,10.629161,780200
29,2002-03-12,11.65,12.45,11.6,12.28,10.88625,608300
30,2002-03-13,12.29,12.38,12.06,12.33,10.930574,607100
31,2002-03-14,12.21,12.39,12.11,12.31,10.912842,980900
32,2002-03-15,12.15,12.25,12.05,12.15,10.771003,457500
33,2002-03-18,12.12,12.23,12.0,12.18,10.797597,957200
34,2002-03-19,12.15,12.7,12.14,12.51,11.090142,375700
35,2002-03-20,12.5,12.56,12.24,12.3,10.903981,272100
36,2002-03-21,12.3,12.6,12.1,12.56,11.13447,585000
37,2002-03-22,12.6,12.6,12.05,12.1,10.726676,516500
38,2002-03-25,12.08,12.1,11.64,11.78,10.442996,558100
